major_id,sequence_number,name,description,is_active,notes,effective_term_id,end_term_id,required_course_id
6,4,COMP-210 - Introduction to Computers,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,285
6,5,ECON-101 - Introduction to Economics and Entrepreneurship,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,26
6,6,ECON-310 - Economic Development,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,29
6,8,ECON-368 - Political Economy,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,31
6,9,ECON-455 - International Economics,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,34
6,10,ECON-459 - Comparative Economic Systems,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,36
6,11,ENGL-110 - College English I: Reading & Composition,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,46
6,12,ENGL-120 - College English II: Reading & Composition,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,47
6,13,ENGL-210 - Fundamentals of Communication,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,53
6,14,HF-101 - Health Education I,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,75
6,15,HIST-101 - World Civilization,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,76
6,16,HIST-230 - History of Cambodia,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,77
6,17,"IR-479 - Communism, Fascism, and Democracy",Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,78
6,18,IR-480 - Theories of International Politics,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,79
6,19,IR-481 - United Nations System,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,80
6,20,IR-482 - Political Systems of Major Asian Nations,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,81
6,21,IR-485 - Modern Diplomacy and International Cooperation,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,82
6,22,IR-489 - Senior Project,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,83
6,23,KHMR-210 - Introduction to Khmer Studies,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,84
6,24,LAW-301 - Introduction to Law,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,86
6,25,LAW-304 - Introduction to International Law,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,88
6,26,LAW-305 - International Business Transactions and Dispute Resolutions,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,89
6,27,MATH-101 - College Algebra,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,91
6,28,NATS-102 - Introduction to Environmental Science,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,97
6,30,PAD-110 - Introduction to Public Policy and Administration,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,99
6,31,PHIL-110 - Logic & Critical Thinking,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,100
6,32,PHIL-210 - Introduction to World Philosophy,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,101
6,33,PHIL-312 - Introduction to Ethics,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,103
6,34,POL-101 - Introduction to Political Science,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,104
6,35,POL-120 - Theories of International Relations,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,105
6,36,POL-201A - ASEAN Government, Politics and Economics,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,106
6,37,POL-302 - International Organizations,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,107
6,38,POL-304 - Contemporary Political Theory,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,108
6,39,POL-305 - Human Rights and World Politics,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,109
6,40,"POL-306 - The Politics and Economics of Major Regional Powers: The US, China, India and EU",Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,110
6,41,POL-405 - The Politics and Economics of Globalization,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,111
6,42,POL-413 - Comparative Political Systems,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,112
6,43,PSYC-102 - Personal Growth and Development,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,113
6,44,SOC-110 - Gender Studies,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,115
6,45,SOC-429 - Research Methods in Social Science,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,116
6,46,STAT-105 - Introduction to Statistics,Required course for International Relations degree program,true,Imported from ba_req.csv column 'int',177,,117
